# Baseline dpkg manifest of the agent base image (AGENT_BASE_IMAGE).
#
# Captured with:
#   make capture-base-packages
#
# collect-sources.sh diffs the built image against this file to determine
# which packages the image adds, and fetches source for those.
#
# Format: <package>\t<version>\t<source-package>\t<source-version>
adduser	3.137ubuntu1	adduser	3.137ubuntu1
apt	2.8.3	apt	2.8.3
apt-utils	2.8.3	apt	2.8.3
base-files	13ubuntu10.3	base-files	13ubuntu10.3
base-passwd	3.6.3build1	base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4	bash	5.2.21-2ubuntu4
binutils	2.42-4ubuntu2.6	binutils	2.42-4ubuntu2.6
binutils-common	2.42-4ubuntu2.6	binutils	2.42-4ubuntu2.6
binutils-x86-64-linux-gnu	2.42-4ubuntu2.6	binutils	2.42-4ubuntu2.6
bsdutils	1:2.39.3-9ubuntu6.3	util-linux	2.39.3-9ubuntu6.3
build-essential	12.10ubuntu1	build-essential	12.10ubuntu1
bzip2	1.0.8-5.1build0.1	bzip2	1.0.8-5.1build0.1
ca-certificates	20240203	ca-certificates	20240203
coreutils	9.4-3ubuntu6.1	coreutils	9.4-3ubuntu6.1
cpp	4:13.2.0-7ubuntu1	gcc-defaults	1.214ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04	gcc-13	13.3.0-6ubuntu2~24.04
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04	gcc-13	13.3.0-6ubuntu2~24.04
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1	gcc-defaults	1.214ubuntu1
cuda-cccl-13-0	13.0.85-1	cuda-cccl	13.0.85-1
cuda-compat-13-0	580.95.05-0ubuntu1	nvidia-graphics-drivers-580	580.95.05-0ubuntu1
cuda-crt-13-0	13.0.88-1	cuda-crt	13.0.88-1
cuda-cudart-13-0	13.0.96-1	cuda-cudart	13.0.96-1
cuda-cudart-dev-13-0	13.0.96-1	cuda-cudart	13.0.96-1
cuda-culibos-13-0	13.0.85-1	cuda-culibos	13.0.85-1
cuda-culibos-dev-13-0	13.0.85-1	cuda-culibos	13.0.85-1
cuda-cuobjdump-13-0	13.0.85-1	cuda-cuobjdump	13.0.85-1
cuda-cupti-13-0	13.0.85-1	cuda-cupti	13.0.85-1
cuda-cupti-dev-13-0	13.0.85-1	cuda-cupti	13.0.85-1
cuda-driver-dev-13-0	13.0.96-1	cuda-cudart	13.0.96-1
cuda-gdb-13-0	13.0.85-1	cuda-gdb	13.0.85-1
